timestamp_ms,room_temp,ambient_temp,humidity,leak_pct,leak_alert,cooling,valve_pct,power_mW,energy_mWh,sensor_fault
2434,10.12,25.0,40.0,0,0,1,43,29064.0,0.00,0
3434,10.11,25.0,40.0,0,0,1,44,29064.0,2906.40,0
4434,10.10,25.0,40.0,0,0,1,46,29064.0,5812.80,0
5434,10.09,25.1,40.0,0,0,1,47,29064.0,8719.20,0
6434,10.08,25.1,40.0,0,0,1,48,29064.0,11625.60,0
7434,10.07,25.1,40.0,0,0,1,50,29064.0,14532.00,0
8434,10.05,25.1,40.0,0,0,1,51,29064.0,17438.40,0
9434,10.03,25.1,40.0,0,0,1,52,29064.0,20344.80,0
10434,10.01,25.2,40.0,0,0,1,53,29064.0,23251.20,0
11434,9.98,25.2,40.0,0,0,1,55,29064.0,26157.60,0
12434,9.95,25.2,40.0,0,0,1,56,29064.0,29064.00,0
13434,9.93,25.2,40.0,0,0,1,57,29064.0,31970.40,0
14434,9.90,25.2,40.0,0,0,1,58,29064.0,34876.80,0
15434,9.86,25.3,40.0,0,0,1,59,29064.0,37783.20,0
16434,9.83,25.3,40.0,0,0,1,60,29064.0,40689.60,0
17434,9.79,25.3,40.0,0,0,1,61,29064.0,43596.00,0
18434,9.76,25.3,40.0,0,0,1,62,29064.0,46502.39,0
19434,9.72,25.3,40.0,0,0,1,63,29064.0,49408.79,0
20434,9.67,25.4,40.0,0,0,1,64,29064.0,52315.19,0
21434,9.63,25.4,40.0,0,0,1,65,29064.0,55221.59,0
22434,9.59,25.4,40.0,0,0,1,66,29064.0,58127.99,0
23434,9.54,25.4,40.0,0,0,1,67,29064.0,61034.39,0
24434,9.49,25.4,40.0,0,0,1,68,29064.0,63940.79,0
25434,9.45,25.5,40.0,0,0,1,69,29064.0,66847.19,0
26434,9.39,25.5,40.0,0,0,1,70,29064.0,69753.59,0
27434,9.34,25.5,40.0,0,0,1,70,29064.0,72659.98,0
28434,9.29,25.5,40.0,0,0,1,71,29064.0,75566.38,0
29434,9.24,25.5,40.0,0,0,1,72,29064.0,78472.78,0
30434,9.18,25.6,40.0,0,0,1,73,29064.0,81379.18,0
31434,9.13,25.6,40.0,0,0,1,74,29064.0,84285.58,0
