timestamp_ms,room_temp,ambient_temp,humidity,leak_pct,leak_alert,cooling,valve_pct,power_mW,energy_mWh,sensor_fault
2435,10.12,25.0,40.0,0,0,1,100,29064.0,0.00,0
3435,10.00,25.0,40.0,0,0,1,100,9864.0,986.40,0
4435,9.88,25.0,40.0,0,0,1,100,9864.0,1972.80,0
5435,9.77,25.1,40.0,0,0,1,100,9864.0,2959.20,0
6435,9.65,25.1,40.0,0,0,1,100,9864.0,3945.60,0
7435,9.54,25.1,40.0,0,0,1,100,9864.0,4932.00,0
8435,9.42,25.1,40.0,0,0,1,100,9864.0,5918.40,0
9435,9.31,25.1,40.0,0,0,1,100,9864.0,6904.80,0
10435,9.20,25.2,40.0,0,0,1,100,9864.0,7891.20,0
11435,9.09,25.2,40.0,0,0,1,100,9864.0,8877.60,0
12435,8.97,25.2,40.0,0,0,1,100,9864.0,9864.00,0
13435,8.86,25.2,40.0,0,0,1,100,9864.0,10850.40,0
14435,8.75,25.2,40.0,0,0,1,100,9864.0,11836.80,0
15435,8.65,25.3,40.0,0,0,1,100,9864.0,12823.20,0
16435,8.54,25.3,40.0,0,0,1,100,9864.0,13809.60,0
17435,8.43,25.3,40.0,0,0,1,100,9864.0,14796.00,0
18435,8.32,25.3,40.0,0,0,1,100,9864.0,15782.40,0
19435,8.22,25.3,40.0,0,0,1,100,9864.0,16768.80,0
20435,8.11,25.4,40.0,0,0,1,100,9864.0,17755.20,0
21435,8.01,25.4,40.0,0,0,1,100,9864.0,18741.60,0
22435,7.90,25.4,40.0,0,0,1,100,9864.0,19728.00,0
23435,7.80,25.4,40.0,0,0,1,100,9864.0,20714.40,0
24435,7.70,25.4,40.0,0,0,1,100,9864.0,21700.80,0
25435,7.60,25.5,40.0,0,0,1,100,9864.0,22687.21,0
26435,7.49,25.5,40.0,0,0,1,100,9864.0,23673.61,0
27435,7.39,25.5,40.0,0,0,1,100,9864.0,24660.01,0
28435,7.29,25.5,40.0,0,0,1,100,9864.0,25646.41,0
29435,7.19,25.5,40.0,0,0,1,100,9864.0,26632.81,0
30435,7.09,25.6,40.0,0,0,1,100,9864.0,27619.21,0
31435,7.00,25.6,40.0,0,0,1,100,9864.0,28605.61,0
32435,6.90,25.6,40.0,0,0,1,100,9864.0,29592.01,0
33435,6.80,25.6,40.0,0,0,1,100,9864.0,30578.41,0
34435,6.70,25.6,40.0,0,0,1,97,29064.0,33484.81,0
35435,6.61,25.7,40.0,0,0,1,93,29064.0,36391.21,0
36435,6.53,25.7,40.0,0,0,1,90,29064.0,39297.61,0
37435,6.46,25.7,40.0,0,0,1,87,29064.0,42204.00,0
38435,6.39,25.7,40.0,0,0,1,84,29064.0,45110.40,0
39435,6.33,25.7,40.0,0,0,1,81,29064.0,48016.80,0
40435,6.27,25.8,40.0,0,0,1,79,29064.0,50923.20,0
41435,6.22,25.8,40.0,0,0,1,77,29064.0,53829.60,0
42435,6.17,25.8,40.0,0,0,1,75,29064.0,56736.00,0
43435,6.13,25.8,40.0,0,0,1,73,29064.0,59642.39,0
44435,6.09,25.8,40.0,0,0,1,71,29064.0,62548.79,0
45435,6.06,25.9,40.0,0,0,1,70,29064.0,65455.19,0
